Country,Year,Im_Value,Em_Value,Net_Migration
AUT,2011,82230,51197,31033
AUT,2012,91557,51812,39745
AUT,2013,101866,54071,47795
AUT,2014,116262,53491,62771
AUT,2015,166323,56689,109634
AUT,2016,129509,64428,65081
AUT,2017,111801,66144,45657
AUT,2018,105633,67212,38421
AUT,2019,109167,68280,40887
AUT,2020,103565,62581,40984
AUT,2021,118511,67299,51212
AUT,2022,201622,74271,127351
BEL,2011,147377,84148,63229
BEL,2012,129477,93600,35877
BEL,2013,120078,102657,17421
BEL,2014,123158,94573,28585
BEL,2015,146626,89794,56832
BEL,2016,123702,92471,31231
BEL,2017,126703,89690,37013
BEL,2018,137860,88935,48925
BEL,2019,150006,102936,47070
BEL,2020,118683,76562,42121
BEL,2021,139743,87272,52471
BEL,2022,208356,84627,123729
BGR,2012,14103,16615,-2512
BGR,2013,18570,19678,-1108
BGR,2014,26615,28727,-2112
BGR,2015,25223,29470,-4247
BGR,2016,21241,30570,-9329
BGR,2017,25597,31586,-5989
BGR,2018,29559,33225,-3666
BGR,2019,37929,39941,-2012
BGR,2020,37364,6649,30715
BGR,2021,39461,26755,12706
BGR,2022,40619,13175,27444
CHE,2011,148799,96494,52305
CHE,2012,149051,103881,45170
CHE,2013,160157,106196,53961
CHE,2014,156282,111103,45179
CHE,2015,153627,116631,36996
CHE,2016,149305,120653,28652
CHE,2017,143377,124997,18380
CHE,2018,144857,130225,14632
CHE,2019,145129,126221,18908
CHE,2020,138778,109376,29402
CHE,2021,144907,116769,28138
CHE,2022,167079,122123,44956
CYP,2011,23037,4895,18142
CYP,2012,17476,18105,-629
CYP,2013,13149,25227,-12078
CYP,2014,9212,24038,-14826
CYP,2015,15183,17183,-2000
CYP,2016,17391,14892,2499
CYP,2017,21306,15105,6201
CYP,2018,23442,15340,8102
CYP,2019,26170,17373,8797
CYP,2020,25861,21368,4493
CYP,2021,24001,18410,5591
CYP,2022,31052,17958,13094
CZE,2011,27114,55910,-28796
CZE,2012,34337,46106,-11769
CZE,2013,30124,25894,4230
CZE,2014,29897,28468,1429
CZE,2015,29602,25684,3918
CZE,2016,64083,38864,25219
CZE,2017,51847,27316,24531
CZE,2018,65910,26742,39168
CZE,2019,105888,77798,28090
CZE,2020,63095,35854,27241
CZE,2021,69360,18630,50730
CZE,2022,347429,31764,315665
DEU,2011,489422,249045,240377
DEU,2012,592175,240001,352174
DEU,2013,692713,259328,433385
DEU,2014,866757,311230,555527
DEU,2015,1549937,315882,1234055
DEU,2016,1046171,514560,531611
DEU,2017,866541,511185,355356
DEU,2018,825736,470500,355236
DEU,2019,804821,491500,313321
DEU,2020,642399,398905,243494
DEU,2021,775946,453812,322134
DEU,2022,1943445,448534,1494911
DNK,2011,52833,41593,11240
DNK,2012,54409,43663,10746
DNK,2013,60312,43310,17002
DNK,2014,68388,44426,23962
DNK,2015,78492,44625,33867
DNK,2016,74383,52654,21729
DNK,2017,68579,56403,12176
DNK,2018,64669,60381,4288
DNK,2019,61384,66520,-5136
DNK,2020,57230,53822,3408
DNK,2021,63489,44008,19481
DNK,2022,121183,62927,58256
EST,2011,3709,6214,-2505
EST,2012,2639,6321,-3682
EST,2013,4109,6740,-2631
EST,2014,3904,4637,-733
EST,2015,15413,13003,2410
EST,2016,14822,13792,1030
EST,2017,17616,12358,5258
EST,2018,17547,10476,7071
EST,2019,18259,12801,5458
EST,2020,16209,12427,3782
EST,2021,19524,12481,7043
EST,2022,49414,9657,39757
GRC,2011,60089,92404,-32315
GRC,2012,58200,124694,-66494
GRC,2013,57946,117094,-59148
GRC,2014,59013,106804,-47791
GRC,2015,64446,109351,-44905
GRC,2016,116867,106535,10332
GRC,2017,112247,103327,8920
GRC,2018,119489,103049,16440
GRC,2019,129459,95020,34439
GRC,2020,84221,77837,6384
GRC,2021,57120,79596,-22476
GRC,2022,96662,80307,16355
ESP,2011,371331,409034,-37703
ESP,2012,304053,446606,-142553
ESP,2013,280772,532303,-251531
ESP,2014,305454,400430,-94976
ESP,2015,342114,343875,-1761
ESP,2016,414746,327325,87421
ESP,2017,532132,368860,163272
ESP,2018,643684,309526,334158
ESP,2019,750480,296248,454232
ESP,2020,467918,248561,219357
ESP,2021,887960,696866,191094
ESP,2022,1258894,531889,727005
FIN,2011,29481,12660,16821
FIN,2012,31278,13845,17433
FIN,2013,31941,13893,18048
FIN,2014,31507,15486,16021
FIN,2015,28746,16305,12441
