DATAFLOW,LAST UPDATE,freq,citizen,agedef,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,AT,2011,82230,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,AT,2012,91557,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,AT,2013,101866,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,AT,2014,116262,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,AT,2015,166323,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,AT,2016,129509,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,AT,2017,111801,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,AT,2018,105633,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,AT,2019,109167,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,AT,2020,103565,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,AT,2021,118511,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,AT,2022,201622,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,BE,2011,147377,b,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,BE,2012,129477,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,BE,2013,120078,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,BE,2014,123158,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,BE,2015,146626,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,BE,2016,123702,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,BE,2017,126703,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,BE,2018,137860,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,BE,2019,150006,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,BE,2020,118683,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,BE,2021,139743,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,BE,2022,208356,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,BG,2012,14103,bp,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,BG,2013,18570,p,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,BG,2014,26615,p,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,BG,2015,25223,p,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,BG,2016,21241,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,BG,2017,25597,p,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,BG,2018,29559,p,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,BG,2019,37929,p,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,BG,2020,37364,p,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,BG,2021,39461,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,BG,2022,40619,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,CH,2011,148799,b,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,CH,2012,149051,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,CH,2013,160157,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,CH,2014,156282,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,CH,2015,153627,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,CH,2016,149305,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,CH,2017,143377,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,CH,2018,144857,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,CH,2019,145129,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,CH,2020,138778,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,CH,2021,144907,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,CH,2022,167079,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,CY,2011,23037,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,CY,2012,17476,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,CY,2013,13149,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,CY,2014,9212,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,CY,2015,15183,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,CY,2016,17391,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,CY,2017,21306,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,CY,2018,23442,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,CY,2019,26170,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,CY,2020,25861,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,CY,2021,24001,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,CY,2022,31052,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,CZ,2011,27114,b,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,CZ,2012,34337,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,CZ,2013,30124,b,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,CZ,2014,29897,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,CZ,2015,29602,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,CZ,2016,64083,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,CZ,2017,51847,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,CZ,2018,65910,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,CZ,2019,105888,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,CZ,2020,63095,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,CZ,2021,69360,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,CZ,2022,347429,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,DE,2011,489422,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,DE,2012,592175,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,DE,2013,692713,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,DE,2014,866757,e,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,DE,2015,1549937,e,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,DE,2016,1046171,e,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,DE,2017,866541,e,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,DE,2018,825736,e,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,DE,2019,804821,e,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,DE,2020,642399,e,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,DE,2021,775946,e,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,DE,2022,1943445,e,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,DK,2011,52833,,
ESTAT:TPS00176(1.0),29/11/24 11:00:00,A,TOTAL,COMPLET,TOTAL,NR,T,DK,2012,54409,,
